"Prod_Desc","Sub_Name","Cat_Name","ID_Proj","Proj_Name","BOM_Quant","Proj_City","Proj_State","Proj_Date"
Gabião,Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
Gabião manta (colchão),Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
placa de concreto de 40x40x5,Artefatos de Concreto,Infraestrutura,10460,placa de concreto de 40x40x5 para Serra - ES,250.0,Serra,ES,"2023-09-19"
" CBUQ para pavimentação asfáltica, padrão Dnit, para Binder, com cap 50/70",Usina de Asfalto,Pavimentação,10461,CBUQ para pavimentação asfáltica em Morungaba - SP,2822.72,Morungaba,SP,"2023-09-19"
parafuso Telha rosca soberba,Acessórios para telhado,Construção Civil,10462,Acessórios de fixação,1.0,Guarulhos,SP,"2023-09-19"
Conjunto de Vedação para Telha Lisa PVC + Arruela Concava ZB,Vedação e Impermeabilização,Tintas e Acessórios,10462,Acessórios de fixação,1.0,Guarulhos,SP,"2023-09-19"
Plataforma de acessibilidade h=2m,Plataformas de acessibilidade,Equipamentos ,10463,Plataforma de acessibilidade,1.0,Porto Alegre,RS,"2023-09-20"
Plataforma De Acess. Escadas,Plataformas de acessibilidade,Equipamentos ,10463,Plataforma de acessibilidade,1.0,Porto Alegre,RS,"2023-09-20"
Elevador residencial 8 andares 600kg,Transporte Vertical,Equipamentos ,10464,Elevadores Residenciais,1.0,Rio Grande,RS,"2023-09-20"
Elevador Residencial Até 5 Andares,Transporte Vertical,Equipamentos ,10464,Elevadores Residenciais,1.0,Rio Grande,RS,"2023-09-20"
"Aduela de concreto 3,50 x 3,50 m",Artefatos de Concreto,Infraestrutura,10465,Aduelas de concreto em Iturama - MG,48.0,Iturama,MG,"2023-09-20"
Poste Reto Cônico de aço altura 15m para 1 luminária Led,Poste Metálico,Infraestrutura,10466,Postes cônicos de aço para Niteroi - RJ,16.0,Niteroi,RJ,"2023-09-20"
Poste Reto Cônico de aço altura 15m com cruzeta para 2 luminárias,Poste Metálico,Infraestrutura,10466,Postes cônicos de aço para Niteroi - RJ,16.0,Niteroi,RJ,"2023-09-20"
Proteção periférica para obra de construção civil,EPC: Equipamentos de Proteção Coletiva,Segurança do Trabalho,10467,Proteção periférica para Prime,1.0,Mogi das Cruzes,SP,"2023-09-21"
"ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO QUADRADA INTERNA DE 1,50 X 1,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA","Tomadas, interruptores e plugues",Materiais Elétricos,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
"ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,00 X 2,00 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA","Tomadas, interruptores e plugues",Materiais Elétricos,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
"ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,50 X 2,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA","Tomadas, interruptores e plugues",Materiais Elétricos,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
"ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 3,00 X 3,00 M (L X A), MISULA DE 20 X 20 CM, C = 1.00 M, ESPESSURA MIN = 20 CM, TB-45 E FCK DO CONCRETO = 30 MPA","Tomadas, interruptores e plugues",Materiais Elétricos,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
"ANEL EM CONCRETO ARMADO, LISO, PARA FOSSAS SEPTICAS E SUMIDOUROS, SEM FUNDO, DIAMETRO INTERNO DE 2,00 M E ALTURA DE 0,50 M",Sanitário,Materiais Hidráulicos,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
"ANEL EM CONCRETO ARMADO, LISO, P/ POÇOS DE INSPEÇÃO, SEM FUNDO, DIAM. 60CM E ALTURA DE 30CM",Artefatos de Concreto,Infraestrutura,10469,CONCRETO PRÉ MOLDADO - ANEL,1.0,Mata da Praia,ES,"2023-09-21"
Poste Em Concreto Cônico Tipo R,Poste de Concreto,Infraestrutura,10470,Poste em concreto cônico tipo R,6.0,Hortolândia,SP,"2023-09-21"
"TUBO PVC RIGIDO 12"" PN 60 ",Canos e Conexões Hidráulicas,Materiais Hidráulicos,10471,Coco do Vale,3.0,Recife,PE,"2023-09-21"
"ANEL VEDACAO 8"" NBR 7665 TUBO PVC ",Canos e Conexões Hidráulicas,Materiais Hidráulicos,10471,Coco do Vale,20.0,Recife,PE,"2023-09-21"
Chapa Antiderrapante,Outros - Pisos e Revestimentos,Pisos e Revestimentos,10472,Valebras - Barra chata xadrez,15.0,Taubaté,SP,"2023-09-22"
Poste de Concreto 600 dan x 12 metros,Poste de Concreto,Infraestrutura,10473,Lactec - Poste de Concreto,1.0,Curitiba,PR,"2023-09-22"
"CONJUNTO PARA QUADRA DE VOLEI COM POSTES EM TUBO DE AÇO GALVANIZADO 3"", H= 255 CM. PINTURA EM TINTA ESMALTE SINTÉTICO, REDE DE NYLON COM 2 MM, MALHA 10 X10 CM E ANTENAS OFICIAIS EM FIBRA DE VIDRO",Verniz e Solvente,Tintas e Acessórios,10474,Estruturas para Quadras de Volei e Basquete em Curitiba - PR,1.0,Curitiba,PR,"2023-09-22"
"ESTRUTURA METÁLICA FIXA, PARA TABELA EM AÇO COM ARO E CESTA PARA BASQUETE, PADRÃO OFICIAL, EM TUBO GALVANIZADO D=5* - INSTALADA",Esportes e Lazer,Outros,10474,Estruturas para Quadras de Volei e Basquete em Curitiba - PR,1.0,Curitiba,PR,"2023-09-22"
"POSTE CONICO CONTINUO EM ACO GALVANIZADO, RETO, FLANGEADO, H = 3 M, DIAMETRO INFERIOR = 95 MM",Poste Metálico,Infraestrutura,10475,Poste cônico de aço para Dream Engenharia - RJ,15.0,Campos dos Goytacazes,RJ,"2023-09-22"
Porta de vai e vem 120 x 240 com bate maca (revestida com chapa melamínica e visor de vidro),Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,21.0,Sapiranga,RS,"2023-09-22"
Porta De Vai E Vem 160 X 240 (Revestida Com Chapa Melamínica E Visor De Vidro),Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,1.0,Sapiranga,RS,"2023-09-22"
Porta de abrir 160 x 240 2 folhas venezianada,Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,3.0,Sapiranga,RS,"2023-09-22"
"porta de vai e vem 90 x 240 (revestida com chapa melamínica, fechadura universal livre/ocupado)",Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,9.0,Sapiranga,RS,"2023-09-22"
Porta de abrir 80 x 240 revestida com chapa melamínica,Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,44.0,Sapiranga,RS,"2023-09-22"
Porta de abrir 120 x 240 2 folhas revestidas com Chapa melamínica,Portas e esquadrias,"Portas, Janelas e Portões",10477,Portas para Construtora Anjo em Sapiranga - RS,4.0,Sapiranga,RS,"2023-09-22"
"PERFILADO PERFURADO SIMPLES 38 X 76 MM, CHAPA 14",Infraestrutura,Materiais Elétricos,10480,Perfilado Duplo - IRRICOM,960.0,Belo Horizonte,MG,"2023-09-25"
Tubo de esgoto - Série Normal - DN150mm,Sanitário,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,32.0,Angra dos Reis,RJ,"2023-09-25"
Tubo de esgoto - Série Normal - DN75mm,Sanitário,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,33.0,Angra dos Reis,RJ,"2023-09-25"
Tubo de esgoto - Série Normal - DN150mm,Sanitário,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,30.0,Angra dos Reis,RJ,"2023-09-25"
Tubo Marrom - Água Fria - Soldável - DN 110mm,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,6.0,Angra dos Reis,RJ,"2023-09-25"
Tubo De Esgoto - Série Normal - DN200mm,Sanitário,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,27.0,Angra dos Reis,RJ,"2023-09-25"
Registro Esfera PVC Soldável Compacto de 75mm,Registros e Bases,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,20.0,Angra dos Reis,RJ,"2023-09-25"
Registro de Esfera Soldável DN 110mm,Registros e Bases,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,3.0,Angra dos Reis,RJ,"2023-09-25"
Joelho 90º soldável 150mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,10.0,Angra dos Reis,RJ,"2023-09-25"
Tê redução soldável 200 x 150mm pvc ,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,3.0,Angra dos Reis,RJ,"2023-09-25"
Joelho 90º soldável 200mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,5.0,Angra dos Reis,RJ,"2023-09-25"
Joelho 90º soldável 110mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,3.0,Angra dos Reis,RJ,"2023-09-25"
Tê redução soldável 150 x 100mm pvc,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,3.0,Angra dos Reis,RJ,"2023-09-25"
TÊ reto 90º Soldável 150mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,2.0,Angra dos Reis,RJ,"2023-09-25"
Tampão (CAP) Soldável 150mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,1.0,Angra dos Reis,RJ,"2023-09-25"
Tampão (CAP) Soldável 200mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,1.0,Angra dos Reis,RJ,"2023-09-25"
"Reservatório Fibra de Vidro - Cap. 0,50 m³","Armazenamento, Captação e Tratamento de Água",Construção Civil,10482,Material Hidráulico - ELETRONUCLEAR,6.0,Angra dos Reis,RJ,"2023-09-25"
Reservatório Fibra De Vidro - Cap. 20 M³,"Armazenamento, Captação e Tratamento de Água",Construção Civil,10482,Material Hidráulico - ELETRONUCLEAR,9.0,Angra dos Reis,RJ,"2023-09-25"
união condução Soldável 110mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,5.0,Angra dos Reis,RJ,"2023-09-25"
União Condução Soldável 75mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,20.0,Angra dos Reis,RJ,"2023-09-25"
União Condução Soldável 150mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,29.0,Angra dos Reis,RJ,"2023-09-25"
Luva soldável 200mm PVC,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10482,Material Hidráulico - ELETRONUCLEAR,2.0,Angra dos Reis,RJ,"2023-09-25"
Argila / barro,"Areia, Pedra Brita, Gesso, Cal e Argila",Construção Civil,10483,Argila / Barro em Cariacica - ES,1.0,Cariacica,ES,"2023-09-25"
"CHAPA DE AÇO LISA  ASTM A-36, 3/16"" X 1200MM X 6000MM","Barras, Tubos e Chapas Metalon",Construção Civil,10484,Chapa de Aço ASTM A36,1.0,São Paulo,SP,"2023-09-26"
" Tubo de aço carbono de 8"" schedule 40 COM costura","Barras, Tubos e Chapas Metalon",Construção Civil,10485,Tubos de aço e PPR,8.0,Santa Cruz do Sul,RS,"2023-09-26"
" Tubo de aço carbono de 8"" schedule 40 SEM costura","Barras, Tubos e Chapas Metalon",Construção Civil,10485,Tubos de aço e PPR,8.0,Santa Cruz do Sul,RS,"2023-09-26"
tubo PPR 200mm,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10485,Tubos de aço e PPR,48.0,Santa Cruz do Sul,RS,"2023-09-26"
"transição 200mm PPR x 8"" aço rosca macho ou fêmea",Canos e Conexões Hidráulicas,Materiais Hidráulicos,10485,Tubos de aço e PPR,4.0,Santa Cruz do Sul,RS,"2023-09-26"
curva PPR 200mm,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10485,Tubos de aço e PPR,4.0,Santa Cruz do Sul,RS,"2023-09-26"
Telhas Galvalumes Trapezoidal Termoacústica,Telhas,Construção Civil,10486,Telhas - (FEST),3500.0,Vitória,ES,"2023-09-27"
Arremate de borda lateral em aço galvalume,Acessórios para telhado,Construção Civil,10486,Telhas - (FEST),97.0,Vitória,ES,"2023-09-27"
Chapas em Aço Inoxidável 304L #4mm,"Barras, Tubos e Chapas Metalon",Construção Civil,10487,HT110923 SPCD,13.0,Marilia,SP,"2023-09-27"
Barra Chata Inox 304L 2”x3/16”,Barras e tubos INOX,Ferragens,10487,HT110923 SPCD,4.0,Marilia,SP,"2023-09-27"
"Tubo Redondo Inox 304 OD - 4 (101,60)","Tomadas, interruptores e plugues",Materiais Elétricos,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
"Tubo Redondo Inox 304 OD Ø14” (355,6) #4mm",Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Tubo Redondo Inox 304 OD Ø6” #4mm,Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,2.0,Marilia,SP,"2023-09-27"
Tubo Redondo Inox 304 OD Ø1” #4mm,Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Flange Solta Inox Ø10” 304/L,"Tomadas, interruptores e plugues",Materiais Elétricos,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Flange Solta Inox Ø14” 304/L – 01 Unidade;,Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Flange Solta Inox Ø6”  304/L,Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,2.0,Marilia,SP,"2023-09-27"
Pestana Inox Ø10” 304/L,"Tomadas, interruptores e plugues",Materiais Elétricos,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Pestana Inox Ø6” 304/L,Tubos e conexões industriais,Ferragens,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Valor p/ Calandrar Tanque Ø2400mm x 1520mm;,"Tomadas, interruptores e plugues",Materiais Elétricos,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Valor Calandrar 02 Flanges Ø2400mm;,Sem Categoria,Outros,10487,HT110923 SPCD,1.0,Marilia,SP,"2023-09-27"
Controlador de fator de potência monofásico com 12 saídas,Controladores de FP,Automação,10491,Sultech - Equipamentos,1.0,Porto Alegre,RS,"2023-10-02"
Multimedidor e registrador de grandezas elétricas trifásicas,Medidores de Energia,Automação,10491,Sultech - Equipamentos,1.0,Porto Alegre,RS,"2023-10-02"
Controlador de demanda trifásico de 16 saídas,Controlador de Demanda,Automação,10491,Sultech - Equipamentos,1.0,Porto Alegre,RS,"2023-10-02"
"Analisador de medidas elétricas trifásicas de 1,5A a 3000A",Medidores de Energia,Automação,10491,Sultech - Equipamentos,1.0,Porto Alegre,RS,"2023-10-02"
Cadeira eiffel,Cadeiras,Arquitetura,10492,Demandas PPC out23,2.0,Porto Alegre,RS,"2023-10-02"
Cadeira gamer Mymax MX5,Móveis,Arquitetura,10492,Demandas PPC out23,1.0,Porto Alegre,RS,"2023-10-02"
Cimento Asfáltico De Petróleo (CAP) Consistência 50/70,Cimento Asfáltico de Petróleo - CAP,Infraestrutura,10493,Materiais para Asfalto em Jaru - RO,1.0,Jaru,RO,"2023-10-02"
asfalto Diluído de Petróleo (ADP) tipo CM-30 ,Pavimentaço,Pisos e Revestimentos,10493,Materiais para Asfalto em Jaru - RO,1.0,Jaru,RO,"2023-10-02"
 Emulsão Asfáltica RR-1C,Usina de Asfalto,Pavimentação,10493,Materiais para Asfalto em Jaru - RO,1.0,Jaru,RO,"2023-10-02"
 Emulsão Asfáltica RR-2C,Manta e Produtos Asfálticos,Pavimentação,10493,Materiais para Asfalto em Jaru - RO,1.0,Jaru,RO,"2023-10-02"
 Emulsão Asfáltica RC-1C,Usina de Asfalto,Pavimentação,10493,Materiais para Asfalto em Jaru - RO,1.0,Jaru,RO,"2023-10-02"
Desinfetante sanitário 500ml lavanda,Produtos para Limpeza,Materiais de Limpeza,10494,Cotação Exemplo,8.0,Alegrete,RS,"2023-10-02"
DISJUNTOR TERMOMAGNETICO TRIPOLAR 125A,Proteções Elétricas,Materiais Elétricos,10495,AHVN - Ampliacao Subsolo Elétrica,1.0,Campo Bom,RS,"2023-10-02"
Tubo de concreto de 100 cm,"Tomadas, interruptores e plugues",Materiais Elétricos,10496,Tubos de concreto para Cleber em Bagé - RS,16.0,Bagé,RS,"2023-10-03"
Tubo de concreto de 60 cm,Artefatos de Concreto,Infraestrutura,10496,Tubos de concreto para Cleber em Bagé - RS,32.0,Bagé,RS,"2023-10-03"
Peças de 30 x 3 de angelim,Madeiras para Construção,Madeiras,10497,Peças de 30 x 3 de Angelim para sonia-rodrigo-13@outlook.com,1.0,São Gonçalo,RJ,"2023-10-03"
BETONEIRA A GASOLINA 400 L,Ferramentas para Construção,Ferramentas,10498,Betoneira a Gasolina para naiarad.ice@gmail.com em Santa Cruz de Minas - MG,1.0,Santa Cruz de Minas,MG,"2023-10-03"
Tubo corrugado Pead parede dupla 400mm,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10499,Tubo Corrugado Tapiramuta - BA,1.0,Tapiramutá,BA,"2023-10-03"
Tubo corrugado Pead parede dupla 400mm - 6 metros,Canos e Conexões Hidráulicas,Materiais Hidráulicos,10499,Tubo Corrugado Tapiramuta - BA,25.0,Tapiramutá,BA,"2023-10-03"
Simulador De Caminhada Para Área Externa Residencial,Esportes e Lazer,Outros,10500,Simulador de Caminhada para Angelita em Marilac - MG,1.0,Marilac,MG,"2023-10-03"
Poste,Sem Categoria,Outros,10501,Poste para Daniel,1.0,"","","2023-10-03"
"COMPRESSOR DE AR REBOCAVEL, VAZAO 189 PCM, PRESSAO EFETIVA DE TRABALHO 102 PSI, MOTOR DIESEL, POTENCIA 63 CV",Ferramentas Elétricas/Bateria,Ferramentas,10503,Ferramentas Maxima - Compressor,1.0,São Paulo,SP,"2023-10-03"
Régua P/ 4 Tomadas,"Tomadas, interruptores e plugues",Materiais Elétricos,10504,Plinio Cavalcanti - SES Hospital,26.0,Caruaru,PE,"2023-10-03"
Régua de tomadas para Rack de 6 tomadas,"Tomadas, interruptores e plugues",Materiais Elétricos,10504,Plinio Cavalcanti - SES Hospital,9.0,Caruaru,PE,"2023-10-03"
Régua P/ 10 Tomadas,"Tomadas, interruptores e plugues",Materiais Elétricos,10504,Plinio Cavalcanti - SES Hospital,17.0,Caruaru,PE,"2023-10-03"
Régua P/ 12 Tomadas,"Tomadas, interruptores e plugues",Materiais Elétricos,10504,Plinio Cavalcanti - SES Hospital,113.0,Caruaru,PE,"2023-10-03"
Painel de Alarme Microprocessado de Vácuo,Equipamentos para Gases Medicinais,Gases Medicinais,10504,Plinio Cavalcanti - SES Hospital,12.0,Caruaru,PE,"2023-10-03"
